연봉	실수령액	공제액계	국민연금	건강보험	장기요양	고용보험	소득세	지방소득세	공제비율
92000000	71758392	20241600	4085880	2832840	209040	590160	11385240	1138440	0.220017391
93000000	72424200	20575800	4131000	2864160	211320	596640	11611560	1161120	0.221245161
94000000	73090596	20909400	4175880	2895240	213600	603120	11837880	1183680	0.222440426
95000000	73756632	21243360	4220880	2926440	215880	609600	12064200	1206360	0.223614316
96000000	74422200	21577800	4266000	2957760	218280	616200	12290520	1229040	0.22476875
97000000	75088596	21911400	4310880	2988840	220560	622680	12516840	1251600	0.225890722
98000000	75754632	22245360	4355880	3020040	222840	629160	12743160	1274280	0.226993469
99000000	76420560	22579440	4401000	3051360	225120	635640	12969480	1296840	0.228075152
100000000	77086836	22913160	4445880	3082440	227400	642120	13195800	1319520	0.2291316
101000000	77752872	23247120	4490880	3113640	229680	648600	13422120	1342200	0.230169505
102000000	78412200	23587800	4536000	3144960	232080	655200	13654200	1365360	0.231252941
103000000	79070556	23929440	4580880	3176040	234360	661680	13887720	1388760	0.23232466
104000000	79728912	24271080	4625880	3207240	236640	668160	14121120	1412040	0.233375769
105000000	80386800	24613200	4671000	3238560	238920	674640	14354640	1435440	0.234411429
106000000	81045276	24954720	4715880	3269640	241200	681120	14588160	1458720	0.235421887
107000000	81703272	25296720	4760880	3300840	243600	687600	14821680	1482120	0.236417944
108000000	82361040	25638960	4806000	3332160	245880	694200	15055200	1505520	0.237397778
109000000	83019516	25980480	4850880	3363240	248160	700680	15288720	1528800	0.238353028
110000000	83616072	26383920	4895880	3394440	250440	707160	15578280	1557720	0.239853818
111000000	84156240	26843760	4941000	3425760	252720	713640	15918840	1591800	0.241835676
112000000	84696876	27303120	4985880	3456840	255000	720120	16259400	1625880	0.243777857
113000000	85237152	27762840	5030880	3488040	257400	726600	16599960	1659960	0.24568885
114000000	85777200	28222800	5076000	3519360	259680	733200	16940520	1694040	0.247568421
115000000	86317956	28682040	5120880	3550440	261960	739680	17281080	1728000	0.249409043
116000000	86858472	29141520	5165880	3581640	264240	746160	17621520	1762080	0.25122
117000000	87398640	29601360	5211000	3612960	266520	752640	17962080	1796160	0.253003077
118000000	87939156	30060840	5255880	3644040	268920	759120	18302640	1830240	0.254752881
119000000	88479552	30520440	5300880	3675240	271200	765600	18643200	1864320	0.256474286
120000000	89019720	30980280	5346000	3706560	273480	772200	18983760	1898280	0.258169
121000000	89560356	31439640	5390880	3737640	275760	778680	19324320	1932360	0.259831736
122000000	88674792	33325200	5435880	3768840	278040	785160	20961240	2096040	0.273157377
123000000	89213040	33786960	5481000	3800160	280440	791640	21303480	2130240	0.274690732
124000000	89751636	34248360	5525880	3831240	282720	798120	21645840	2164560	0.276196452
125000000	90290232	34709760	5570880	3862440	285000	804600	21988080	2198760	0.27767808
126000000	90828360	35171640	5616000	3893760	287280	811200	22330440	2232960	0.27914
127000000	91367196	35632800	5660880	3924840	289560	817680	22672680	2267160	0.280573228
128000000	91905672	36094320	5705880	3956040	291840	824160	23014920	2301480	0.281986875
129000000	92443800	36556200	5751000	3987360	294240	830640	23357280	2335680	0.283381395
130000000	92982636	37017360	5795880	4018440	296520	837120	23699520	2369880	0.284748923
131000000	93521112	37478880	5840880	4049640	298800	843600	24041880	2404080	0.286098321
132000000	94059240	37940760	5886000	4080960	301080	850200	24384120	2438400	0.28743
133000000	94597956	38402040	5930880	4112040	303360	856680	24726480	2472600	0.288737143
134000000	95136432	38863560	5975880	4143240	305760	863160	25068720	2506800	0.290026567
135000000	95674800	39325200	6021000	4174560	308040	869640	25410960	2541000	0.291297778
136000000	96213396	39786600	6065880	4205640	310320	876120	25753320	2575320	0.292548529
137000000	96751992	40248000	6110880	4236840	312600	882600	26095560	2609520	0.293781022
138000000	97290120	40709880	6156000	4268160	314880	889200	26437920	2643720	0.29499913
139000000	97828836	41171160	6200880	4299240	317280	895680	26780160	2677920	0.296195396
140000000	98367192	41632800	6245880	4330440	319560	902160	27122520	2712240	0.297377143
141000000	98905560	42094440	6291000	4361760	321840	908640	27464760	2746440	0.298542128
142000000	99444396	42555600	6335880	4392840	324120	915120	27807000	2780640	0.299687324
143000000	99982872	43017120	6380880	4424040	326400	921600	28149360	2814840	0.300819021
144000000	100520880	43479120	6426000	4455360	328800	928200	28491600	2849160	0.301938333
145000000	101059596	43940400	6470880	4486440	331080	934680	28833960	2883360	0.303037241
146000000	101598192	44401800	6515880	4517640	333360	941160	29176200	2917560	0.304121918
147000000	102136440	44863560	6561000	4548960	335640	947640	29518560	2951760	0.305194286
148000000	102675156	45324840	6605880	4580040	337920	954120	29860800	2986080	0.306248919
149000000	103213752	45786240	6650880	4611240	340200	960600	30203040	3020280	0.307290201
150000000	103751760	46248240	6696000	4642560	342600	967200	30545400	3054480	0.3083216
